"","idpub","X","gwiiq_bm","edfa57q","edmo57q","bmpin1","ocsf57","ocpf57","incg400","incg250","relfml","res57","hsdm57","edfa57q.miss","edmo57q.miss","bmpin1.miss","ocsf57.miss","ocpf57.miss","res57Dic","edfa57q.NoNA","edmo57q.NoNA","bmpin1.NoNA","ocsf57.NoNA","ocpf57.NoNA","strata","yrwg74i1","milty","bkxrl3","ru028re","gu028re","mx013rer","mx015rer","ixt07rer","ixt08rer","edeqyr","yrer74i1","rp001rei1","religion","urban","school","yrwg74"
"1",900021,1,93,7,NA,26,19,58,FALSE,FALSE,TRUE,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,7,10.7198339032731,26,19,58,64,NA,1,-3,1,8,-2,-2,-2,-2,19,NA,66000,"Catholic","Urban","Public",NA
"2",900026,2,109,16,14,49,52,71,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,14,49,52,71,156,230,0,4,1,-2,-2,-2,-2,-2,20,250,55000,"Other","Rural","Public",230
"3",900034,3,81,7,7,34,14,53,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,34,14,53,131,75,1,1,-2,-2,NA,NA,NA,NA,12,75,13000,"Catholic","Rural","Public",75
"4",900035,4,76,7,NA,31,6,41,FALSE,FALSE,TRUE,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,7,10.7198339032731,31,6,41,4,78.43000031,0,1,NA,NA,NA,NA,1,1,12,78.4300003051758,NA,"Catholic","Urban","Public",NA
"5",900042,5,117,16,7,63,72,78,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,7,63,72,78,177,120,1,5,-2,4,2,2,3,-2,12,136,50000,"Other","Rural","Public",120
"6",900043,6,104,12,NA,84,33,65,FALSE,FALSE,FALSE,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,12,10.7198339032731,84,33,65,76,92.86000061,1,4,93,-2,NA,NA,1,-3,14,292.859985351562,58530,"Other","Urban","Public",0
"7",900054,7,106,NA,12,89,21,59,FALSE,FALSE,FALSE,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,10.4034575115656,12,89,21,59,59,242,1,2,25,24,2,2,3,-2,12,247,90000,"Other","Urban","Public",242
"8",900069,8,123,13,14,100,50,71,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13,14,100,50,71,60,110,1,6,1,6,2,1,3,-2,19,110,62000,"Other","Urban","Public",110
"9",900079,9,101,13,12,28,14,53,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,12,28,14,53,162,50,0,6,-2,-2,2,2,3,-2,12,50,20000,"Other","Rural","Public",50
"10",900083,10,71,7,12,56,19,58,FALSE,FALSE,TRUE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,12,56,19,58,146,130,0,1,-2,NA,1,1,NA,NA,12,130,32891,"Catholic","Rural","Public",130
"11",900096,11,127,16,12,91,72,78,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16,12,91,72,78,151,300,0,3,5,10,-2,-2,NA,NA,18,300,94453,"Other","Urban","Public",300
"12",900106,12,127,12,12,44,19,58,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,12,44,19,58,110,140,0,6,3,1,2,0,-2,-2,18,270.630004882812,60000,"Other","Rural","Public",140
"13",900126,13,109,12,12,68,33,65,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,12,68,33,65,76,NA,0,-3,10,8,NA,NA,1,0.5,12,NA,20000,"Other","Urban","Public",NA
"14",900145,14,104,10,10,31,37,67,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,10,31,37,67,83,135,1,2,2,4,2,1,3,-2,16,135,30000,"Other","Rural","Public",135
"15",900147,15,86,13,NA,4,14,53,FALSE,FALSE,FALSE,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13,10.7198339032731,4,14,53,1,135,0,4,-2,-2,-2,-2,-2,-2,12,135,29000,"Other","Rural","Public",135
"16",900148,16,117,16,16,174,NA,NA,FALSE,FALSE,TRUE,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,16,16,174,30.2687787429739,60.4144098109351,86,170,1,1,1,NA,-2,-2,3,-2,16,170,26985,"Catholic","Rural","Catholic",170
"17",900151,17,92,12,7,42,14,53,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,7,42,14,53,100,100,1,1,30,-2,NA,NA,NA,NA,12,100,40000,"Catholic","Rural","Public",100
"18",900174,18,94,7,7,7,6,41,FALSE,FALSE,TRUE,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,7,6,41,98,120,1,5,20,32,-2,-2,-2,-2,18,120,35000,"Catholic","Rural","Catholic",120
"19",900189,19,123,12,12,114,66,76,FALSE,FALSE,TRUE,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,12,114,66,76,21,240,1,1,10,12,2,2,1,2,19,240,65000,"Catholic","Urban","Catholic",240
"20",900209,20,115,7,7,20,22,60,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,20,22,60,116,180,0,4,15,60,2,2,3,-2,12,180,60000,"Other","Rural","Public",180
"21",900214,21,109,7,10,22,33,65,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,10,22,33,65,26,83,0,1,-2,-3,NA,NA,NA,NA,12,83,24000,"Other","Rural","Public",83
"22",900217,22,117,7,10,60,61,74,FALSE,FALSE,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,10,60,61,74,69,164.0899963,0,2,15,12,2,0,3,-2,18,164.089996337891,87247,"Catholic","Rural","Public",NA
"23",900221,23,97,7,7,NA,NA,NA,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,7,7,62.953509995351,30.2687787429739,60.4144098109351,171,56,1,6,-2,-5,NA,NA,3,-2,16,56,103361,"Other","Urban","Public",56
"24",900229,24,75,NA,7,19,6,41,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10.4034575115656,7,19,6,41,52,180,1,3,62,24,-2,-2,-2,-2,12,185.279998779297,12000,"Other","Rural","Public",180
"25",900232,25,96,13,10,10,14,53,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,10,10,14,53,81,99,1,2,NA,NA,NA,NA,NA,NA,12,99,NA,"Catholic","Rural","Public",99
"26",900233,26,98,16,16,95,78,80,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16,16,95,78,80,93,150,1,6,4,NA,2,1,NA,NA,16,159,41000,"Other","Urban","Public",150
"27",900241,27,104,12,12,72,43,69,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,12,72,43,69,59,324.5100098,1,1,4,-4,2,1,3,-2,16,324.510009765625,67835,"Catholic","Rural","Public",NA
"28",900243,28,78,13,10,13,14,53,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,10,13,14,53,123,85,1,6,-2,NA,NA,NA,NA,NA,12,85,0,"Other","Rural","Public",85
"29",900249,29,101,14,13,38,41,68,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,13,38,41,68,92,NA,0,-3,-2,12,NA,NA,NA,NA,15,NA,0,"Other","Rural","Public",NA
"30",900267,30,102,10,NA,35,23,60,FALSE,FALSE,FALSE,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,10.7198339032731,35,23,60,40,125,0,1,-2,4,2,1,3,-2,12,134,60000,"Other","Rural","Public",125
"31",900273,31,112,10,NA,74,NA,NA,FALSE,FALSE,FALSE,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,10,10.7198339032731,74,30.2687787429739,60.4144098109351,37,230,0,2,4,8,2,1,3,-2,12,236,60000,"Other","Rural","Public",230
"32",900286,32,104,14,10,32,6,41,FALSE,FALSE,TRUE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,10,32,6,41,162,160,1,1,60,120,-2,-2,-2,-2,12,160,44000,"Catholic","Rural","Public",160
"33",900295,33,78,7,7,24,14,53,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,24,14,53,131,120,1,1,8,10,-2,-2,-2,-2,12,120,19475,"Catholic","Rural","Public",120
"34",900309,34,98,10,13,5,47,70,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,13,5,47,70,10,160,1,1,10,4,-2,-2,-2,-2,16,160,81000,"Other","Urban","Public",160
"35",900311,35,129,7,16,52,17,56,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,16,52,17,56,99,NA,1,-3,-2,NA,-2,-2,NA,NA,12,NA,0,"Other","Rural","Public",NA
"36",900318,36,111,12,10,41,53,71,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,10,41,53,71,42,98,1,2,1,NA,2,2,NA,NA,12,98,30000,"Other","Rural","Public",98
"37",900330,37,98,10,10,58,33,65,FALSE,FALSE,TRUE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,10,58,33,65,150,90,1,4,30,NA,NA,NA,3,-2,14,90,130836,"Catholic","Urban","Public",90
"38",900332,38,101,7,10,63,18,57,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,10,63,18,57,114,97,0,4,-2,-2,2,2,3,-2,12,97,30000,"Other","Rural","Public",97
"39",900345,39,113,10,12,98,8,45,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,12,98,8,45,44,250,1,1,30,NA,NA,NA,-2,-2,12,250,125000,"Other","Urban","Public",250
"40",900347,40,88,10,12,60,14,53,FALSE,FALSE,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,12,60,14,53,95,91,1,1,NA,NA,NA,NA,NA,NA,12,172.190002441406,NA,"Catholic","Rural","Public",91
"41",900348,41,75,10,10,35,14,53,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,10,35,14,53,13,96,0,1,30,40,2,1,3,-2,12,96,25000,"Catholic","Rural","Public",96
"42",900351,42,94,14,16,187,14,53,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,16,187,14,53,172,80,1,2,NA,NA,NA,NA,NA,NA,13,80,NA,"Other","Rural","Public",80
"43",900354,43,113,10,12,73,7,43,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,12,73,7,43,44,138,0,2,20,20,-2,-2,3,-2,12,143,56000,"Other","Rural","Public",138
"44",900361,44,102,10,12,231,79,81,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,12,231,79,81,154,91.26000214,0,4,NA,NA,NA,NA,NA,NA,14,2288.46997070312,NA,"Other","Urban","Public",NA
"45",900369,45,118,13,12,30,41,68,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,12,30,41,68,17,106.4599991,1,5,-2,-2,2,1,3,-2,20,756.460021972656,160000,"Other","Rural","Public",0
"46",900371,46,118,10,16,71,33,65,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,16,71,33,65,117,500,0,5,50,40,-2,-2,-2,-2,20,540,275000,"Other","Rural","Public",500
"47",900391,47,67,NA,NA,29,6,41,FALSE,FALSE,FALSE,5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10.4034575115656,10.7198339032731,29,6,41,4,150,1,1,2,-2,-2,-2,-2,-2,12,150,31000,"Other","Rural","Public",150
"48",900392,48,97,12,12,66,NA,NA,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,12,12,66,30.2687787429739,60.4144098109351,104,255,1,1,100,75,NA,NA,NA,NA,14,255,135000,"Catholic","Rural","Public",255
"49",900396,49,101,12,7,66,NA,NA,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,12,7,66,30.2687787429739,60.4144098109351,73,190,0,1,93,120,1,1,1,2,18,190,52000,"Catholic","Rural","Public",190
"50",900400,50,117,7,10,32,6,41,FALSE,FALSE,TRUE,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,10,32,6,41,176,120,1,1,-2,20,-2,-2,-2,-2,12,120,42000,"Catholic","Urban","Catholic",120
"51",900406,51,113,14,12,121,64,75,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,12,121,64,75,47,140,0,2,14,14,2,1,3,-2,13,140,29000,"Other","Rural","Public",140
"52",900418,52,86,10,7,48,19,57,FALSE,FALSE,TRUE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,7,48,19,57,52,140,0,1,-2,-2,-2,-2,-2,-2,12,140,48000,"Catholic","Urban","Public",140
"53",900419,53,92,10,16,50,19,58,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,16,50,19,58,46,100,0,3,40,50,NA,NA,3,-2,13,100,30000,"Other","Rural","Public",100
"54",900420,54,129,7,13,54,37,67,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,13,54,37,67,117,190,0,1,10,15,-2,-2,-2,-2,16,190,70000,"Catholic","Rural","Public",190
"55",900426,55,102,12,10,97,31,64,FALSE,FALSE,TRUE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,10,97,31,64,155,130,1,2,NA,NA,NA,NA,NA,NA,12,130,NA,"Catholic","Urban","Public",130
"56",900452,56,87,10,12,70,15,54,FALSE,FALSE,TRUE,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,12,70,15,54,11,200,1,1,32,20,-2,-2,-2,-2,12,200,30000,"Catholic","Rural","Catholic",200
"57",900455,57,109,13,10,37,34,66,FALSE,FALSE,TRUE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13,10,37,34,66,42,145,1,1,12,NA,NA,NA,NA,NA,14,145,6000,"Catholic","Urban","Public",145
"58",900458,58,129,12,13,85,71,78,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,13,85,71,78,135,220,0,5,8,3,-2,-2,-2,-2,16,220,30000,"Other","Urban","Public",220
"59",900463,59,88,18,10,39,34,66,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,10,39,34,66,8,120,1,6,150,186,1,1,3,-2,17,120,34975,"Other","Rural","Public",120
"60",900470,60,133,12,14,96,7,44,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,14,96,7,44,110,250,1,4,-2,NA,NA,NA,NA,NA,16,250,100000,"Other","Rural","Public",250
"61",900471,61,102,10,12,89,39,68,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,12,89,39,68,155,200,0,4,-2,-2,2,3,3,-2,16,200,85000,"Other","Rural","Public",200
"62",900481,62,103,7,7,62,18,57,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,62,18,57,142,NA,1,-3,20,NA,-2,-2,-2,-2,13,NA,38000,"Catholic","Rural","Public",NA
"63",900491,63,94,7,7,9,6,41,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,9,6,41,98,110,1,2,-2,NA,1,0,NA,NA,12,110,20000,"Other","Rural","Public",110
"64",900497,64,107,12,12,22,14,53,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,12,22,14,53,105,250,0,4,-2,NA,NA,NA,NA,NA,15,250,40000,"Other","Rural","Public",250
"65",900501,65,88,7,12,70,56,72,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,12,70,56,72,11,120,1,5,40,80,2,3,3,-2,12,120,4000,"Other","Urban","Public",120
"66",900506,66,96,18,12,14,16,55,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,12,14,16,55,91,75,0,5,-2,90,2,2,NA,NA,12,164.709991455078,50000,"Other","Rural","Public",75
"67",900515,67,118,10,13,64,6,42,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,13,64,6,42,137,105,1,3,3,4,2,1,3,-2,12,105,42000,"Other","Rural","Public",105
"68",900526,68,123,12,7,84,85,84,FALSE,FALSE,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,7,84,85,84,85,104.5999985,1,1,20,60,2,3,3,-2,17,354.600006103516,80000,"Catholic","Rural","Public",0
"69",900541,69,109,16,14,90,NA,NA,FALSE,FALSE,TRUE,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,16,14,90,30.2687787429739,60.4144098109351,86,100,1,4,25,-2,2,1,3,-2,17,100,30000,"Catholic","Rural","Catholic",100
"70",900545,70,85,7,7,59,15,54,FALSE,FALSE,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,59,15,54,113,160,0,1,6,6,2,2,3,-2,12,167,65000,"Catholic","Rural","Public",160
"71",900551,71,104,NA,NA,49,53,71,FALSE,FALSE,FALSE,7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,10.4034575115656,10.7198339032731,49,53,71,157,140,0,1,-2,-2,2,0,-2,-2,12,140,33000,"Other","Urban","Public",140
"72",900555,72,83,7,7,18,44,69,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,18,44,69,72,120,0,1,60,60,NA,NA,-2,-2,12,120,35000,"Catholic","Rural","Public",120
"73",900560,73,97,12,7,58,NA,NA,FALSE,FALSE,TRUE,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,12,7,58,30.2687787429739,60.4144098109351,171,130,1,1,5,15,NA,NA,NA,NA,12,130,28000,"Catholic","Rural","Public",130
"74",900566,74,98,13,13,47,NA,NA,FALSE,FALSE,TRUE,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,13,13,47,30.2687787429739,60.4144098109351,2,132.4400024,0,1,NA,NA,NA,NA,NA,NA,14,192.440002441406,NA,"Catholic","Rural","Public",0
"75",900570,75,98,10,10,7,6,41,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,10,7,6,41,30,118.1399994,0,4,30,NA,NA,NA,NA,NA,12,298.140014648438,17000,"Catholic","Rural","Public",0
"76",900589,76,93,7,16,NA,NA,NA,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,16,62.953509995351,30.2687787429739,60.4144098109351,54,118.7399979,0,6,-2,NA,NA,NA,NA,NA,13,118.73999786377,0,"Other","Rural","Public",NA
"77",900590,77,61,NA,NA,31,19,58,FALSE,FALSE,TRUE,5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10.4034575115656,10.7198339032731,31,19,58,41,120,0,1,-2,4,-2,-2,-2,-2,12,120,20000,"Catholic","Rural","Public",120
"78",900599,78,97,NA,16,21,14,53,FALSE,FALSE,FALSE,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10.4034575115656,16,21,14,53,10,0,0,1,-2,NA,NA,NA,NA,NA,12,76,50000,"Other","Rural","Public",0
"79",900601,79,96,12,12,60,38,67,FALSE,FALSE,TRUE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,12,60,38,67,147,100,1,4,40,50,NA,NA,3,-2,12,100,30000,"Catholic","Urban","Public",100
"80",900629,80,106,14,10,44,14,53,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,10,44,14,53,68,119,1,1,20,20,2,0,3,-2,12,119,47000,"Other","Rural","Public",119
"81",900634,81,120,NA,7,16,14,53,FALSE,FALSE,FALSE,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10.4034575115656,7,16,14,53,141,200,0,2,6,4,-2,-2,NA,NA,19,210,63913,"Other","Rural","Public",200
"82",900636,82,109,7,7,13,14,53,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,13,14,53,19,92,0,1,-2,NA,-2,-2,NA,NA,12,92,51576,"Other","Rural","Public",92
"83",900649,83,94,7,10,53,19,57,FALSE,FALSE,TRUE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,10,53,19,57,109,120,0,1,2,8,-2,-2,-2,-2,12,120,37000,"Catholic","Rural","Public",120
"84",900667,84,85,7,7,49,7,43,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,49,7,43,170,190,1,4,84,8,2,1,3,-2,12,190,53000,"Other","Rural","Public",190
"85",900678,85,98,7,7,31,14,53,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,31,14,53,18,120,1,3,-2,NA,2,1,NA,NA,12,120,70000,"Other","Rural","Public",120
"86",900689,86,88,10,12,54,19,58,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,12,54,19,58,95,175,1,4,2,93,-2,-2,-2,-2,12,175,46000,"Other","Rural","Public",175
"87",900690,87,87,7,7,18,14,53,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,18,14,53,6,190,0,5,25,10,2,2,3,-2,12,190,25000,"Catholic","Rural","Public",190
"88",900695,88,91,7,10,33,18,57,FALSE,FALSE,TRUE,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,10,33,18,57,87,122,0,1,-2,NA,-2,-2,-2,-2,12,122,33975,"Catholic","Rural","Catholic",122
"89",900704,89,133,7,10,78,43,69,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,10,78,43,69,69,250,0,5,-2,NA,-2,-2,3,-2,18,250,92000,"Other","Urban","Public",250
"90",900706,90,87,7,10,50,NA,NA,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,10,50,30.2687787429739,60.4144098109351,173,130,1,1,-2,16,2,0,3,-2,12,130,33000,"Other","Rural","Public",130
"91",900710,91,107,12,10,71,44,69,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,10,71,44,69,177,150,1,1,20,20,2,1,3,-2,12,150,30000,"Other","Urban","Public",150
"92",900719,92,124,14,13,63,36,66,FALSE,FALSE,TRUE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,14,13,63,36,66,65,125,1,1,-2,NA,1,2,NA,NA,16,125,35000,"Catholic","Urban","Public",125
"93",900720,93,121,7,10,71,6,41,FALSE,FALSE,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,10,71,6,41,44,200,0,1,30,10,2,2,3,-2,18,200,87000,"Catholic","Rural","Public",200
"94",900726,94,92,12,12,78,64,75,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,12,78,64,75,9,196.1999969,1,3,12,30,-2,-2,-2,-2,13,196.199996948242,36455,"Other","Rural","Public",NA
"95",900727,95,83,12,12,76,30,64,FALSE,FALSE,TRUE,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,12,76,30,64,62,140,1,6,-2,-2,2,1,3,-2,14,140,57000,"Catholic","Urban","Catholic",140
"96",900728,96,123,10,10,67,27,62,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,10,67,27,62,7,150,1,6,-2,60,1,6,1,-3,16,150,45000,"Other","Urban","Public",150
"97",900731,97,117,NA,10,9,6,41,FALSE,FALSE,FALSE,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10.4034575115656,10,9,6,41,30,110,1,3,6,15,2,1,3,-2,17,110,40000,"Other","Rural","Public",110
"100",900753,100,88,NA,10,13,6,41,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10.4034575115656,10,13,6,41,123,140,0,1,14,12,1,1,3,-2,12,245,50000,"Catholic","Rural","Public",140
"101",900760,101,91,10,7,47,6,41,FALSE,FALSE,TRUE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,7,47,6,41,52,150,0,1,25,NA,NA,NA,NA,NA,12,150,30000,"Catholic","Urban","Public",150
"102",900772,102,109,18,18,74,NA,NA,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,18,18,74,30.2687787429739,60.4144098109351,86,240,1,6,-2,1,-2,-2,-2,-2,16,240,90000,"Other","Rural","Public",240
"103",900781,103,79,7,7,29,19,58,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,29,19,58,131,130,1,1,-2,-2,2,2,NA,NA,12,132,48000,"Other","Rural","Public",130
"104",900791,104,85,7,7,17,14,53,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,17,14,53,6,100,0,2,4,-2,-2,-2,-2,-2,12,100,25000,"Other","Rural","Public",100
"105",900800,105,88,13,14,55,79,81,FALSE,FALSE,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,14,55,79,81,178,160,1,1,15,6,2,1,3,-2,14,160,50000,"Catholic","Rural","Public",160
"106",900801,106,93,7,7,74,21,59,FALSE,FALSE,TRUE,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,7,74,21,59,115,125,1,1,-2,6,-2,-2,-2,-2,13,125,35000,"Catholic","Urban","Catholic",125
"107",900804,107,118,10,12,70,49,70,FALSE,FALSE,TRUE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,12,70,49,70,135,260,0,1,-2,20,-2,-2,-2,-2,20,260,40000,"Catholic","Urban","Public",260
