"","idpub","X","gwiiq_bm","edfa57q","edmo57q","bmpin1","ocsf57","ocpf57","incg400","incg250","relfml","res57","hsdm57","edfa57q.miss","edmo57q.miss","bmpin1.miss","ocsf57.miss","ocpf57.miss","res57Dic","edfa57q.NoNA","edmo57q.NoNA","bmpin1.NoNA","ocsf57.NoNA","ocpf57.NoNA","strata","yrwg74i1","milty","bkxrl3","ru028re","gu028re","mx013rer","mx015rer","ixt07rer","ixt08rer","edeqyr","yrer74i1","rp001rei1","religion","urban","school","yrwg74"
"4031",930592,4031,93,7,16,24,6,42,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,16,24,6,42,96,110,0,4,60,NA,2,1,NA,NA,12,110,18000,"Other","Rural","Public",110
"4032",930593,4032,115,12,10,15,14,53,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,10,15,14,53,68,110,1,2,1,2,2,1,3,-2,13,110,32000,"Other","Rural","Public",110
"4033",930598,4033,112,18,13,88,96,93,FALSE,FALSE,TRUE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,18,13,88,96,93,102,140,1,4,2,18,2,1,3,-2,19,160,40000,"Catholic","Urban","Public",140
"4034",930603,4034,96,12,NA,69,85,83,FALSE,FALSE,TRUE,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,12,10.7198339032731,69,85,83,40,175,1,1,62,15,2,1,NA,NA,12,175,30000,"Catholic","Urban","Public",175
"4035",930607,4035,99,NA,12,43,NA,NA,FALSE,FALSE,TRUE,8,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,10.4034575115656,12,43,30.2687787429739,60.4144098109351,2,86,1,4,10,4,-2,-2,3,-2,12,86,32000,"Catholic","Urban","Public",86
"4036",930610,4036,129,13,12,62,38,67,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,12,62,38,67,78,NA,1,-3,-2,12,-2,-2,-2,-2,13,NA,60000,"Other","Rural","Public",NA
"4037",930617,4037,83,7,7,33,47,70,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,7,33,47,70,72,200,1,4,3,-2,1,2,3,-2,12,200,32000,"Other","Urban","Public",200
"4038",930622,4038,106,7,7,61,61,74,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,61,61,74,142,120,0,2,9,2,-2,-2,-2,-2,18,120,47000,"Other","Rural","Public",120
"4040",930628,4040,76,12,12,40,32,65,FALSE,FALSE,TRUE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,12,40,32,65,120,240,1,6,-2,-2,2,1,1,0.75,12,240,50000,"Catholic","Urban","Public",240
"4041",930640,4041,98,7,10,33,3,34,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,10,33,3,34,33,120,1,1,8,40,-2,-2,-2,-2,12,120,29000,"Other","Rural","Public",120
"4042",930658,4042,76,7,7,NA,NA,NA,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,7,62.953509995351,30.2687787429739,60.4144098109351,173,100,0,2,-2,NA,1,5,NA,NA,12,100,30000,"Other","Rural","Public",100
"4043",930692,4043,118,7,12,213,14,53,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,12,213,14,53,44,0,0,1,-2,3,1,2,2,0,14,255,25000,"Other","Urban","Public",0
"4044",930703,4044,98,7,10,25,44,69,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,10,25,44,69,87,200,1,3,2,10,-2,-2,-2,-2,16,200,60000,"Other","Rural","Public",200
"4045",930705,4045,120,NA,16,80,14,53,FALSE,FALSE,FALSE,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10.4034575115656,16,80,14,53,44,225.6499939,0,1,4,5,-2,-2,-2,-2,20,225.649993896484,45000,"Other","Rural","Public",NA
"4046",930719,4046,89,14,13,66,22,60,FALSE,FALSE,TRUE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,14,13,66,22,60,129,NA,0,-3,-2,-2,-2,-2,-2,-2,12,NA,18000,"Catholic","Urban","Public",NA
"4047",930722,4047,106,NA,12,27,14,53,FALSE,FALSE,FALSE,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10.4034575115656,12,27,14,53,5,204.8699951,1,2,30,40,2,2,3,-2,12,237.190002441406,68613,"Other","Rural","Public",NA
"4048",930725,4048,107,7,12,64,14,53,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,12,64,14,53,145,140,1,5,50,45,1,1,1,1,12,140,40000,"Other","Urban","Public",140
"4049",930726,4049,109,7,10,61,6,41,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,10,61,6,41,58,40,1,1,NA,NA,NA,NA,NA,NA,12,40,NA,"Catholic","Rural","Public",40
"4050",930728,4050,99,7,7,30,14,53,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,30,14,53,34,165,0,4,12,30,2,2,3,-2,12,225,6000,"Other","Rural","Public",165
"4051",930743,4051,112,10,12,62,44,69,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,12,62,44,69,56,200,0,3,120,12,NA,NA,1,1,16,200,28000,"Other","Urban","Public",200
"4052",930744,4052,145,NA,NA,50,NA,NA,FALSE,FALSE,FALSE,5,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,10.4034575115656,10.7198339032731,50,30.2687787429739,60.4144098109351,74,180,1,4,1,1,-2,-2,-2,-2,19,180,85000,"Other","Rural","Public",180
"4053",930758,4053,113,12,7,24,49,70,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,7,24,49,70,42,250,1,4,-2,40,2,1,3,-2,16,250,80000,"Other","Rural","Public",250
"4054",930760,4054,120,10,12,30,14,53,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,12,30,14,53,124,1,1,1,-2,6,-2,-2,-2,-2,12,41,500,"Other","Urban","Public",1
"4055",930765,4055,99,13,13,27,14,53,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,13,27,14,53,51,176,1,1,NA,NA,NA,NA,NA,NA,12,176,NA,"Other","Rural","Public",176
"4056",930777,4056,96,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,10.4034575115656,10.7198339032731,62.953509995351,30.2687787429739,60.4144098109351,130,120,1,2,-2,-5,1,1,3,-2,12,120,50000,"Catholic","Rural","Catholic",120
"4057",930785,4057,124,7,7,87,18,57,FALSE,FALSE,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,87,18,57,16,NA,1,-3,-2,10,-2,-2,3,-2,16,NA,48000,"Catholic","Rural","Public",NA
"4058",930786,4058,109,10,16,23,38,67,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,16,23,38,67,26,NA,1,-3,15,10,-2,-2,-2,-2,-3,NA,50000,"Catholic","Rural","Public",NA
"4059",930798,4059,97,10,10,70,9,47,FALSE,FALSE,TRUE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,10,70,9,47,89,145,0,2,-2,3,2,1,1,0,12,846.659973144531,40000,"Catholic","Urban","Public",145
"4060",930805,4060,78,7,7,54,14,53,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,54,14,53,113,110,1,1,-2,1,2,2,3,-2,12,110,28000,"Other","Rural","Public",110
"4061",930818,4061,104,10,12,998,37,67,TRUE,TRUE,TRUE,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,12,998,37,67,155,150,0,3,30,-2,1,2,NA,NA,12,220,40000,"Catholic","Urban","Catholic",150
"4062",930820,4062,83,12,10,NA,NA,NA,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,12,10,62.953509995351,30.2687787429739,60.4144098109351,130,140,1,2,60,240,NA,NA,1,2,12,140,41153,"Other","Rural","Public",140
"4063",930828,4063,104,7,NA,52,21,59,FALSE,FALSE,FALSE,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,10.7198339032731,52,21,59,83,98,0,4,-2,-2,1,2,1,1.5,12,98,40000,"Other","Rural","Public",98
"4064",930832,4064,139,10,12,78,18,57,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,12,78,18,57,135,177,0,2,48,60,2,2,3,-2,16,177,59000,"Other","Rural","Public",177
"4065",930834,4065,145,18,18,145,65,75,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,18,18,145,65,75,60,400,0,6,45,NA,2,2,NA,NA,16,400,150000,"Other","Urban","Public",400
"4066",930861,4066,139,18,16,49,52,71,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,18,16,49,52,71,140,179.6399994,0,-3,-2,20,2,1,3,-2,20,181.240005493164,5000,"Other","Urban","Public",NA
"4067",930869,4067,106,7,12,73,34,66,FALSE,FALSE,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,12,73,34,66,114,145,1,1,-2,18,-2,-2,-2,-2,12,145,21000,"Catholic","Rural","Catholic",145
"4068",930872,4068,91,10,10,71,23,60,FALSE,FALSE,TRUE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,10,71,23,60,67,81.73000336,1,1,-2,NA,-2,-2,NA,NA,12,165.460006713867,32446,"Catholic","Urban","Public",NA
"4069",930913,4069,139,7,7,59,14,53,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,59,14,53,7,120,1,2,-2,NA,-2,-2,NA,NA,12,120,42000,"Other","Rural","Public",120
"4070",930919,4070,102,14,12,38,14,53,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,12,38,14,53,162,0,1,3,20,20,-2,-2,-2,-2,12,120,92480,"Other","Rural","Public",0
"4071",930922,4071,129,12,12,49,22,59,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,12,49,22,59,136,143,0,1,-2,-2,NA,NA,-2,-2,18,143,25000,"Other","Rural","Public",143
"4072",930936,4072,96,16,13,44,72,78,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,13,44,72,78,178,130,0,1,16,50,2,0,3,-2,19,140,45000,"Catholic","Rural","Public",130
"4073",930938,4073,98,7,16,69,15,54,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,16,69,15,54,54,150,0,2,-2,6,2,1,3,-2,18,150,50000,"Other","Rural","Public",150
"4074",930939,4074,101,13,16,51,6,41,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,16,51,6,41,51,210,0,1,30,12,2,2,1,1.5,12,217,82000,"Other","Rural","Public",210
"4075",930942,4075,92,12,7,70,9,47,FALSE,FALSE,TRUE,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,7,70,9,47,66,100,0,1,-2,-3,NA,NA,-2,-2,16,100,36000,"Catholic","Urban","Public",100
"4076",930948,4076,133,16,12,40,44,69,FALSE,FALSE,TRUE,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16,12,40,44,69,140,240,0,1,20,50,2,1,3,-2,20,240,100000,"Catholic","Urban","Catholic",240
"4077",930962,4077,104,14,14,21,66,76,FALSE,FALSE,TRUE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,14,14,21,66,76,105,160,1,6,1,2,2,4,3,-2,12,160,23000,"Catholic","Urban","Public",160
"4078",930981,4078,101,10,14,67,16,56,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,14,67,16,56,94,204,1,6,-2,-2,2,1,3,-2,12,204,69000,"Other","Rural","Public",204
"4079",930986,4079,133,13,10,20,47,70,FALSE,FALSE,TRUE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13,10,20,47,70,141,110,0,2,-2,-2,-2,-2,NA,NA,18,110,10000,"Catholic","Urban","Public",110
"4080",930994,4080,75,13,12,82,NA,NA,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,13,12,82,30.2687787429739,60.4144098109351,39,170,1,1,-2,1,2,1,3,-2,12,170,27000,"Catholic","Rural","Public",170
"4081",931012,4081,109,13,13,68,22,60,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,13,68,22,60,156,NA,1,-3,-2,NA,2,0,NA,NA,15,NA,25000,"Other","Rural","Public",NA
"4082",931013,4082,91,7,7,26,14,53,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,26,14,53,98,100,1,1,-2,5,1,0,3,-2,12,100,24000,"Catholic","Rural","Public",100
"4083",931024,4083,73,16,7,14,14,53,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,7,14,14,53,123,85,1,1,2,8,NA,NA,3,-2,12,85,28000,"Catholic","Rural","Public",85
"4084",931032,4084,93,7,7,22,18,57,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,22,18,57,6,0,0,2,NA,NA,NA,NA,NA,NA,12,0,NA,"Other","Rural","Public",0
"4085",931036,4085,107,12,12,38,14,53,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,12,38,14,53,51,240,1,2,NA,-3,NA,NA,1,1.5,12,240,NA,"Other","Rural","Public",240
"4086",931042,4086,67,7,7,40,14,53,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,40,14,53,77,130,1,1,12,56,2,2,3,-2,12,130,40000,"Catholic","Rural","Public",130
"4087",931049,4087,118,12,12,35,NA,NA,FALSE,FALSE,TRUE,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,12,12,35,30.2687787429739,60.4144098109351,152,104,1,2,5,30,1,1,NA,NA,18,104,56000,"Catholic","Rural","Public",104
"4088",931053,4088,112,7,NA,NA,NA,NA,FALSE,FALSE,FALSE,7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,7,10.7198339032731,62.953509995351,30.2687787429739,60.4144098109351,37,387.8299866,1,4,-2,-2,-2,-2,-2,-2,12,537.829956054688,38000,"Other","Urban","Public",0
"4089",931056,4089,96,NA,NA,81,23,60,FALSE,FALSE,FALSE,6,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,10.4034575115656,10.7198339032731,81,23,60,82,160,1,1,12,16,NA,NA,3,-2,12,160,0,"Other","Urban","Public",160
"4090",931066,4090,121,16,12,41,22,59,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,12,41,22,59,141,NA,0,-3,12,NA,-3,-3,NA,NA,18,NA,90798,"Other","Rural","Public",NA
"4091",931069,4091,92,14,7,41,36,66,FALSE,FALSE,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,7,41,36,66,8,320,0,2,-2,40,2,0,3,-2,12,320,109000,"Catholic","Rural","Public",320
"4092",931077,4092,104,7,12,50,9,47,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,12,50,9,47,160,119,1,3,-2,-2,1,1,1,1,13,119,7000,"Other","Urban","Public",119
"4093",931080,4093,127,18,13,103,59,73,FALSE,FALSE,TRUE,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,18,13,103,59,73,60,170,1,4,28,12,-2,-2,-2,-2,20,170,130597,"Catholic","Urban","Catholic",170
"4094",931085,4094,91,7,10,42,6,43,FALSE,FALSE,TRUE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,10,42,6,43,87,123,1,4,6,2,2,0,3,-2,13,213,44000,"Catholic","Urban","Public",123
"4095",931099,4095,83,12,12,70,NA,NA,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,12,12,70,30.2687787429739,60.4144098109351,153,142,0,2,NA,NA,NA,NA,NA,NA,12,142,NA,"Catholic","Rural","Public",142
"4096",931107,4096,82,7,7,66,NA,NA,FALSE,FALSE,TRUE,8,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,7,7,66,30.2687787429739,60.4144098109351,173,130,1,2,-2,NA,NA,NA,NA,NA,14,130,0,"Catholic","Urban","Public",130
"4097",931108,4097,98,7,7,23,65,75,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,23,65,75,53,76,1,1,NA,NA,NA,NA,NA,NA,16,76,NA,"Catholic","Rural","Public",76
"4098",931115,4098,115,16,NA,71,66,76,FALSE,FALSE,FALSE,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16,10.7198339032731,71,66,76,76,127.4499969,1,6,-2,1,1,2,1,2,16,127.449996948242,52024,"Other","Rural","Public",NA
"4099",931121,4099,109,7,7,50,15,54,FALSE,FALSE,TRUE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,7,50,15,54,118,130,1,1,4,25,2,2,3,-2,12,130,42000,"Catholic","Urban","Public",130
"4100",931146,4100,103,12,12,70,33,65,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,12,70,33,65,59,140,1,2,-2,15,2,1,3,-2,12,140,40000,"Other","Urban","Public",140
"4101",931158,4101,121,16,16,226,NA,NA,FALSE,FALSE,TRUE,8,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,16,16,226,30.2687787429739,60.4144098109351,84,650,0,1,36,20,2,1,3,-2,19,830,300000,"Catholic","Urban","Catholic",650
"4102",931164,4102,103,13,7,44,61,74,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,7,44,61,74,73,150,1,3,186,372,2,2,3,-2,12,150,24000,"Other","Rural","Public",150
"4103",931189,4103,104,7,7,18,19,57,FALSE,FALSE,TRUE,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,7,18,19,57,15,57,1,4,6,6,2,1,NA,NA,12,107,11000,"Catholic","Urban","Catholic",0
"4104",931191,4104,109,10,10,49,21,59,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,10,49,21,59,79,150,0,4,2,1,2,1,3,-2,12,150,40000,"Other","Rural","Public",150
"4105",931194,4105,92,NA,NA,56,49,70,FALSE,FALSE,FALSE,5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10.4034575115656,10.7198339032731,56,49,70,20,110,1,6,-2,NA,1,1,NA,NA,12,110,45000,"Other","Rural","Public",110
"4106",931201,4106,78,14,14,64,39,68,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,14,14,64,39,68,129,160,1,2,NA,NA,NA,NA,NA,NA,12,160,NA,"Other","Urban","Public",160
